,Shirt Number,Player Name,Date of Birth,Age,Nationality,Position,Age_2021,Team,Number of games,Games started,Mins,Goals,Shots,Assist,CC,SOT,Fouls commited,Fouls won,Yellow Card,Red Card,Shot_accuracy,Goal_ratio,Sub_in,Transfer_new,Transfer_SPL
63,8,Barry Frank Hendrik Maguire,1989-10-27,32,NED,Midfielder,32,Geylang International FC,16,16,1361:02:00,0,13,7,7,5,28,25,2,0,0.38,0.0,0,1,0
64,9,Sylvano Dominique Comvalius,1987-08-10,34,NED,Forward,34,Geylang International FC,7,4,437:13:00,2,12,1,1,8,6,3,0,0,0.67,0.17,3,0,0
65,10,Celestino Moresche Rodrigues Matheus,1998-06-24,23,BRA,Midfielder,23,Geylang International FC,21,17,1682:43:00,11,73,4,4,30,16,51,1,0,0.41,0.15,4,0,0
66,11,Muhammad Harith Bin Kanadi,2000-08-01,21,SGP,Defender,21,Geylang International FC,16,16,1260:56:00,0,11,1,1,4,19,21,6,0,0.36,0.0,0,1,0
67,13,Muhammad Izzdin Shafiq Bin Yacob,1990-12-14,31,SGP,Midfielder,31,Geylang International FC,15,9,974:36:00,0,2,1,1,0,24,4,1,0,0.0,0.0,6,0,1
68,14,Muhammad Asshukrie Bin Wahid,1998-02-27,24,SGP,Midfielder,23,Geylang International FC,7,7,453:29:00,0,7,0,0,2,3,13,0,0,0.29,0.0,0,0,0
69,15,Mohammad Faizal Bin Roslan,1995-05-30,27,SGP,Defender,26,Geylang International FC,15,11,1118:43:00,1,6,0,0,2,10,9,2,0,0.33,0.17,4,0,1
70,16,Mohamad Idris Bin Sadlizan,1998-08-21,23,SGP,Midfielder,23,Geylang International FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
71,17,Mohammad Firdaus Bin Kasman,1988-01-24,34,SGP,Midfielder,33,Geylang International FC,13,13,1105:09:00,0,9,1,1,5,9,18,3,0,0.56,0.0,0,1,0
72,18,Muhammad Azri Suhaili Muhammad Azar,2002-07-12,19,SGP,Midfielder,19,Geylang International FC,6,4,213:09:00,0,1,0,0,0,4,4,0,0,0.0,0.0,2,1,0
73,19,Muhammad Fareez Bin Mohd Farhan,1994-07-29,27,SGP,Forward,27,Geylang International FC,14,5,479:23:00,0,8,0,0,3,4,11,1,0,0.38,0.0,9,1,0
74,20,Nur Luqman Bin Abdul Rahman,1998-06-20,23,SGP,Midfielder,23,Geylang International FC,4,4,238:36:00,0,2,0,0,1,6,6,0,0,0.5,0.0,0,1,0
75,21,Yuki Ichikawa,1987-08-29,34,JPN,Defender,34,Geylang International FC,19,19,1710:00:00,0,11,1,1,0,19,26,5,0,0.0,0.0,0,1,0
76,22,Christopher James Van Huizen,1992-11-28,29,SGP,Midfielder,29,Geylang International FC,19,7,1002:00:00,1,13,5,5,4,10,7,2,0,0.31,0.08,12,1,0
77,23,Wayne Chew,2001-10-22,20,SGP,Goal Keeper,20,Geylang International FC,5,5,405:00:00,0,0,0,0,0,0,0,1,0,0.0,0.0,0,1,0
78,24,Iqram Rifqi Bin Mohd Yazid,1996-02-25,26,SGP,Midfielder,25,Geylang International FC,7,2,235:53:00,0,1,0,0,1,6,8,0,0,1.0,0.0,5,0,1
79,25,Muhammad Zainol Bin Gulam Mohamed,1992-02-04,30,SGP,Goal Keeper,29,Geylang International FC,7,6,582:40:00,0,0,0,0,0,0,1,0,0,0.0,0.0,1,1,0
80,28,Abdil Qaiyyim Bin Abdul Mutalib,1989-05-14,33,SGP,Defender,32,Geylang International FC,6,6,540:00:00,0,0,0,0,0,6,3,3,1,0.0,0.0,0,0,1
81,28,Mohammad Afiq Bin Yunos,1990-12-10,31,SGP,Defender,31,Geylang International FC,6,6,495:00:00,0,1,0,0,0,11,3,3,0,0.0,0.0,0,0,0
82,30,Zaiful Nizam Bin Abdullah,1987-07-24,34,SGP,Goal Keeper,34,Geylang International FC,4,4,360:00:00,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1
83,42,SANDERS ZACHARY SAURAJEN,2000-06-20,21,SGP,Goal Keeper,21,Geylang International FC,2,2,137:19:00,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
84,43,Kenta Tan,2003-08-22,18,SGP,Defender,18,Geylang International FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
85,45,Muhammad Furqan Abdul Raoff,2002-03-26,20,SGP,Midfielder,19,Geylang International FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
86,47,Vasileios Ming Xun Chua Zikos,2002-04-15,20,SGP,Forward,19,Geylang International FC,2,2,104:25:00,0,1,0,0,0,0,3,0,0,0.0,0.0,0,1,0
87,49,Teck Yong Elijah Lim,2001-05-08,21,SGP,Midfielder,20,Geylang International FC,13,13,855:05:00,0,5,0,0,2,6,15,1,0,0.4,0.0,0,0,1
88,51,Jia Jun Kieran Teo,2004-04-06,18,SGP,Defender,17,Geylang International FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
89,1,Mukundan Malaiya Maran,1998-07-21,23,SGP,Goal Keeper,23,Hougang United FC,4,4,360:00:00,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0
90,2,Anders Eric Aplin,1991-06-21,30,SGP,Defender,30,Hougang United FC,14,11,1031:26:00,1,7,0,0,2,13,5,4,0,0.29,0.14,3,1,0
91,4,Muhammad Afiq Bin Mat Noor,1993-12-25,28,SGP,Defender,28,Hougang United FC,14,3,594:59:00,1,6,0,0,3,10,7,1,0,0.5,0.17,11,1,0
92,5,Han Wei Lionel Tan,1997-06-05,24,SGP,Defender,24,Hougang United FC,18,18,1620:00:00,3,11,1,1,4,21,8,4,0,0.36,0.27,0,1,0
93,6,Kaishu Yamazaki,1997-07-12,24,JPN,Midfielder,24,Hougang United FC,20,20,1800:00:00,1,23,8,8,11,12,24,1,0,0.48,0.04,0,0,1
94,7,Muhammad Shahfiq Bin Ghani,1992-03-17,30,SGP,Midfielder,29,Hougang United FC,11,4,422:28:00,1,4,3,3,2,6,12,1,0,0.5,0.25,7,1,0
95,8,Muhammad Hafiz Bin Abu Sujad,1990-11-01,31,SGP,Defender,31,Hougang United FC,14,7,802:13:00,4,12,2,2,8,17,9,3,0,0.67,0.33,7,1,0
96,9,Tomoyuki Doi,1997-09-24,24,JPN,Forward,24,Hougang United FC,21,20,1816:22:00,19,109,6,6,64,20,21,0,0,0.59,0.17,1,0,1
97,10,Muhammad Shawal Bin Anuar,1991-04-29,31,SGP,Forward,30,Hougang United FC,18,12,1295:13:00,3,22,5,5,7,14,18,1,0,0.32,0.14,6,1,0
98,11,Muhammad Nazrul Bin Ahmad Nazari,1991-02-11,31,SGP,Defender,30,Hougang United FC,12,9,932:46:00,1,4,1,1,2,15,19,3,0,0.5,0.25,3,1,0
99,12,Wing Hong Fabian Kwok,1989-03-17,33,SGP,Midfielder,32,Hougang United FC,17,14,1282:38:00,2,10,2,2,3,26,11,2,0,0.3,0.2,3,1,0
100,13,Muhammad Ridhuan Bin Barudin,1987-03-23,35,SGP,Goal Keeper,34,Hougang United FC,7,7,630:00:00,0,0,0,0,0,0,1,1,0,0.0,0.0,0,1,0
101,14,Maksat Dzhakybaliev,2000-02-18,22,KGZ,Defender,21,Hougang United FC,14,14,1210:18:00,1,5,0,0,2,40,12,6,0,0.4,0.2,0,1,0
102,15,Muhammad Farhan Bin Zulkifli,2002-11-10,19,SGP,Midfielder,19,Hougang United FC,20,20,1765:10:00,0,8,2,2,3,20,36,6,0,0.38,0.0,0,1,0
103,16,Faiz Bin Mohd Salleh,1992-07-17,29,SGP,Defender,29,Hougang United FC,6,6,509:23:00,0,0,0,0,0,5,3,0,0,0.0,0.0,0,1,0
104,17,Mohammad Shahril Bin Ishak,1984-01-23,38,SGP,Forward,37,Hougang United FC,8,1,285:54:00,0,4,3,3,2,1,1,0,0,0.5,0.0,7,0,1
105,18,Idraki Bin Mohd Adnan,1999-03-13,23,SGP,Midfielder,22,Hougang United FC,12,12,757:52:00,4,14,2,2,8,14,16,2,0,0.57,0.29,0,0,1
106,19,Gilberto Valdenesio Fortunato,1987-07-11,34,BRA,Forward,34,Hougang United FC,11,8,766:57:00,4,24,3,3,11,22,10,1,0,0.46,0.17,3,0,0
107,20,Muhammad Muhaimin Bin Suhaimi,1995-02-20,27,SGP,Defender,26,Hougang United FC,6,2,289:24:00,0,4,0,0,2,7,7,3,0,0.5,0.0,4,1,0
108,22,Muhammad Khairul Nizam Bin Mohammad Kamal,1991-06-25,30,SGP,Forward,30,Hougang United FC,6,2,276:40:00,0,7,1,1,4,8,4,0,0,0.57,0.0,4,0,1
109,23,Mohamad Sahil Bin Suhaimi,1992-07-08,29,SGP,Forward,29,Hougang United FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
110,24,Naufal Bin Azman,1998-07-10,23,SGP,Midfielder,23,Hougang United FC,11,11,643:03:00,0,9,0,0,2,2,17,0,0,0.22,0.0,0,1,0
111,25,Muhammad Aizil Mohamed Yazid,2004-12-24,17,SGP,Goal Keeper,17,Hougang United FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1
112,26,Kishson Silvanus Philip,1999-11-26,22,SGP,Midfielder,22,Hougang United FC,10,9,452:35:00,1,7,1,1,4,8,14,1,0,0.57,0.14,1,0,0
113,29,Muhammad Amir Bin Zalani,1996-12-04,25,SGP,Midfielder,25,Hougang United FC,1,0,11:46,0,0,0,0,0,0,1,0,0,0.0,0.0,1,0,0
114,30,Mohamad Izwan Bin Mahbud,1990-07-14,31,SGP,Goal Keeper,31,Hougang United FC,10,10,900:00:00,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0
115,53,Jarrel Jia Wei Ong,2002-10-26,19,SGP,Midfielder,19,Hougang United FC,1,1,45:00:00,1,1,0,0,1,1,0,0,0,1.0,1.0,0,0,0
116,55,Yong Qi Josiah Phua,2000-10-06,21,SGP,Midfielder,21,Hougang United FC,5,5,242:41:00,0,2,0,0,0,7,1,0,0,0.0,0.0,0,0,0
117,57,Hairil Sufi Bin Shahrol,2000-05-27,22,SGP,Forward,21,Hougang United FC,1,1,45:00:00,0,0,0,0,0,1,1,0,0,0.0,0.0,0,0,1
118,3,Tajeli Bin Salamat,1994-02-07,28,SGP,Defender,27,Lion City Sailors FC,13,11,997:50:00,0,3,3,3,0,16,9,1,0,0.0,0.0,2,1,0
119,4,Jorge Fellipe De Oliveira Figuiero,1988-10-27,33,BRA,Defender,33,Lion City Sailors FC,15,14,1229:08:00,5,30,0,0,9,20,8,5,0,0.3,0.17,1,0,0
120,5,Muhammad Amirul Adli Bin Azmi,1996-01-13,26,SGP,Defender,25,Lion City Sailors FC,16,15,1371:02:00,0,7,0,0,1,19,10,3,1,0.14,0.0,1,0,1
121,7,Muhammad Aqhari Bin Abdullah,1991-07-09,30,SGP,Defender,30,Lion City Sailors FC,9,5,486:13:00,0,1,1,1,0,5,3,0,0,0.0,0.0,4,1,0
122,8,Shahdan Bin Sulaiman,1988-05-09,34,SGP,Midfielder,33,Lion City Sailors FC,20,20,1780:01:00,2,24,5,5,11,21,9,4,0,0.46,0.08,0,1,0
123,9,Stipe Plazibat,1989-08-31,32,CRO,Forward,32,Lion City Sailors FC,17,17,1517:11:00,14,47,7,7,25,23,16,2,0,0.53,0.3,0,1,0
124,10,Diego Hipolito Da Silva Lopes,1994-05-03,28,BRA,Midfielder,27,Lion City Sailors FC,19,10,1205:03:00,6,25,5,5,9,9,35,1,0,0.36,0.24,9,0,0
125,11,Mohammad Hafiz Bin Mohd Nor,1988-08-22,33,SGP,Midfielder,33,Lion City Sailors FC,11,1,380:54:00,1,12,2,2,7,4,8,1,0,0.58,0.08,10,1,0
126,13,Muhammad Adib Nur Hakim Bin Azahari,1998-03-09,24,SGP,Goal Keeper,23,Lion City Sailors FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
127,14,Uiyoung Song,1993-11-08,28,SGP,Midfielder,28,Lion City Sailors FC,15,8,822:39:00,7,27,1,1,12,20,16,3,1,0.44,0.26,7,1,0
128,15,Hariss S/O Harun,1990-11-19,31,SGP,Midfielder,31,Lion City Sailors FC,10,9,786:26:00,0,9,0,0,0,11,0,0,0,0.0,0.0,1,0,0
129,16,Yong Kang Justin Hui,1998-02-17,24,SGP,Midfielder,23,Lion City Sailors FC,4,4,180:00:00,0,0,1,1,0,2,3,0,0,0.0,0.0,0,0,1
130,17,Muhammad Saifullah Bin Mohammad Akbar,1999-01-31,23,SGP,Midfielder,22,Lion City Sailors FC,20,20,1539:39:00,4,46,3,3,15,28,34,6,0,0.33,0.09,0,1,0
131,18,Hassan Bin Abdullah Sunny,1984-04-02,38,SGP,Goal Keeper,37,Lion City Sailors FC,20,20,1774:33:00,0,0,0,0,0,0,5,1,0,0.0,0.0,0,1,0
132,19,Muhammad Naqiuddin Bin Ahmad Eunos,1997-01-12,25,SGP,Defender,24,Lion City Sailors FC,10,10,900:00:00,0,0,2,2,0,5,8,0,0,0.0,0.0,0,1,0
133,20,Muhammad Nur Adam Bin Abdullah,2001-04-13,21,SGP,Defender,20,Lion City Sailors FC,16,16,1440:00:00,0,3,1,1,3,26,24,3,0,1.0,0.0,0,0,1
134,22,Jun Yi Gabriel Quak,1990-12-22,31,SGP,Midfielder,31,Lion City Sailors FC,21,17,1469:25:00,13,53,4,4,26,15,13,1,0,0.49,0.25,4,1,0
135,23,Muhammad Amiruldin Asraf Bin Muhammad Nodin,1997-01-08,25,SGP,Forward,24,Lion City Sailors FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
136,24,Rudy Khairullah Bin Adi Negara,1994-07-19,27,SGP,Goal Keeper,27,Lion City Sailors FC,2,1,115:26:00,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0
137,25,Haiqal Pashia Anugrah,1998-11-29,23,SGP,Midfielder,23,Lion City Sailors FC,15,15,767:44:00,3,9,1,1,3,8,14,0,0,0.33,0.33,0,1,0
138,26,Aizal Murhamdani Bin Ahmad,2001-03-26,21,SGP,Midfielder,20,Lion City Sailors FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
139,27,Adam Bin Swandi,1996-01-12,26,SGP,Midfielder,25,Lion City Sailors FC,13,1,277:43:00,0,3,1,1,0,9,6,2,1,0.0,0.0,12,1,0
140,30,Muhammad Faris Bin Ramli,1992-08-24,29,SGP,Midfielder,29,Lion City Sailors FC,20,9,1153:42:00,3,38,8,8,11,17,35,3,0,0.29,0.08,11,0,0
141,41,Aniq Raushan Bin Mohamad Azra,2003-10-05,18,SGP,Defender,18,Lion City Sailors FC,4,4,322:39:00,0,1,0,0,1,4,1,1,0,1.0,0.0,0,0,0
142,45,Jing Jie Glenn Ong,2003-07-16,18,SGP,Midfielder,18,Lion City Sailors FC,2,2,113:07:00,0,2,0,0,1,1,2,0,0,0.5,0.0,0,0,0
143,3,Muhammad Ryaan Bin Sanizal,2002-05-31,20,SGP,Defender,19,Tampines Rovers FC,11,9,748:48:00,1,4,1,1,2,9,5,2,0,0.5,0.25,2,1,0
144,4,Huzaifah Abdul Aziz,1994-06-27,27,SGP,Midfielder,27,Tampines Rovers FC,1,0,45:00:00,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0
145,5,Baihakki Khaizan,1984-01-31,38,SGP,Defender,37,Tampines Rovers FC,14,12,1089:38:00,0,12,0,0,4,15,5,6,1,0.33,0.0,2,1,0
146,6,Madhu M Mohana,1991-03-06,31,SGP,Defender,30,Tampines Rovers FC,17,14,1382:59:00,2,17,2,2,8,11,5,3,0,0.47,0.12,3,1,0
147,7,Muhammad Yasir Bin Hanapi,1989-06-21,32,SGP,Midfielder,32,Tampines Rovers FC,20,17,1572:28:00,6,38,4,4,17,46,46,3,0,0.45,0.16,3,1,0
148,8,Kyoga Nakamura,1996-04-25,26,JPN,Midfielder,25,Tampines Rovers FC,21,21,1890:00:00,3,46,1,1,16,29,54,1,0,0.35,0.07,0,1,0
