,Shirt Number,Player Name,Date of Birth,Age,Nationality,Position,Age_2022,Team,Number of games,Games started,Mins,Goals,Shots,Assist,CC,SOT,Fouls commited,Fouls won,Yellow Card,Red Card,Shot_accuracy,Goal_ratio,Sub_in,Transfer_new,Transfer_SPL
36,9,Shuhei Hoshino,19/12/1995,26,JPN,Forward,27,Balestier Khalsa FC,10,10,900:00:00,7,31,0,0,13,13,21,1,0,0.42,0.23,0,1,0
37,10,Ryoya Taniguchi,31/8/1999,22,JPN,Forward,23,Balestier Khalsa FC,11,11,990:00:00,2,23,6,6,10,16,37,1,0,0.43,0.09,0,0,1
38,11,Kuraba Kondo,6/7/2002,19,JPN,Forward,20,Balestier Khalsa FC,11,11,963:54:00,3,17,2,2,9,11,17,0,0,0.53,0.18,0,0,1
39,12,Yi Jie Martyn Mun,7/1/2000,22,SGP,Goal Keeper,22,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,13,Muhammad Amer Hakeem Bin Mohamad Nazri,8/11/1998,23,SGP,Defender,24,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,14,Hariysh S/O Krishnakumar,23/10/2002,19,SGP,Midfielder,20,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,16,Ting Wei Darren Teh,19/8/1996,25,SGP,Defender,26,Balestier Khalsa FC,11,10,911:26:00,0,0,3,3,0,8,16,0,0,0,0,1,0,1
43,17,Naufal Bin Azman,10/7/1998,23,SGP,Forward,24,Balestier Khalsa FC,7,2,289:23:00,0,9,0,0,3,3,3,0,0,0.33,0,5,0,1
44,18,Riki Kimura,14/11/2000,21,SGP,Goal Keeper,22,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,19,Muhammad Asshukrie Bin Wahid,27/2/1998,24,SGP,Midfielder,24,Balestier Khalsa FC,4,2,162:20:00,0,1,0,0,1,1,2,0,0,1,0,2,0,1
46,20,Rudy Khairullah Bin Adi Negara,19/7/1994,27,SGP,Goal Keeper,28,Balestier Khalsa FC,5,5,450:00:00,0,0,0,0,0,0,1,2,0,0,0,0,0,1
47,22,Puvan Raj Sivalingam,29/8/2001,20,SGP,Forward,21,Balestier Khalsa FC,1,1,45:00:00,0,0,0,0,0,2,2,1,0,0,0,0,1,0
48,24,Wai Loon Ho,20/8/1993,28,SGP,Midfielder,29,Balestier Khalsa FC,10,10,847:38:00,0,4,0,0,1,10,17,1,0,0.25,0,0,1,0
49,27,Akmal Bin Azman,21/11/2000,21,SGP,Midfielder,22,Balestier Khalsa FC,6,2,229:19:00,0,0,0,0,0,2,3,0,0,0,0,4,0,0
50,28,Jun Kit Gareth Low,28/2/1997,25,SGP,Midfielder,25,Balestier Khalsa FC,10,10,783:12:00,1,3,1,1,2,11,5,1,0,0.67,0.33,0,1,0
51,29,Aidil Bin Johari,5/4/2003,19,SGP,Midfielder,19,Balestier Khalsa FC,10,6,686:14:00,0,0,0,0,0,4,8,2,0,0,0,4,1,0
52,30,Yu Heng Ignatius Ang,11/11/1992,29,SGP,Midfielder,30,Balestier Khalsa FC,7,1,157:19:00,0,1,0,0,1,6,1,0,0,1,0,6,0,0
53,39,Aiman Zavyan Zuraiddy,7/6/2002,19,SGP,Defender,20,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,54,Chee Keat Larry Lim,2/7/2002,19,SGP,Midfielder,20,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,66,Ryan Praveen Tamil Selven,28/5/2002,20,SGP,Defender,20,Balestier Khalsa FC,2,0,45:54:00,0,0,0,0,0,3,1,0,0,0,0,2,1,0
56,67,Mohammad Iftiqar Bin Mohammad Parizan,21/4/2003,19,SGP,Midfielder,19,Balestier Khalsa FC,1,1,45:00:00,0,0,0,0,0,0,1,0,0,0,0,0,1,0
57,68,Suffian Bin Abdullah,12/4/2004,18,SGP,Goal Keeper,18,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,70,Mohamed Asraf Rilwan S/O Nazimudeen,3/12/2003,18,SGP,Midfielder,19,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,72,Max Vijay Callum McCoy,3/4/2004,18,GBR,Forward,18,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,74,Yann Emmanuel Henri Weishaupt,2/1/2004,18,FRA,Midfielder,18,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,77,Hari Connor Vinay McCoy,11/9/2002,19,GBR,Forward,20,Balestier Khalsa FC,1,1,32:08:00,0,0,1,1,0,2,0,0,0,0,0,0,0,0
62,79,N Sakthivelchezhian,9/12/2002,19,SGP,Forward,20,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,80,Muhammad Aqil Mohamed Yazid,9/1/2004,18,SGP,Defender,18,Balestier Khalsa FC,2,2,135:00:00,0,0,0,0,0,3,0,1,0,0,0,0,1,0
64,1,Mohamed Zulfairuuz Bin Mohamed Rudy,22/5/1994,28,SGP,Goal Keeper,28,Geylang International FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,2,Muhammad Fadli Bin Kamis,7/11/1992,29,SGP,Defender,30,Geylang International FC,6,6,508:44:00,0,0,1,1,0,4,8,0,0,0,0,0,0,1
66,3,Mohamed Ilhan Bin Mohamed Noor,19/12/2002,19,SGP,Defender,20,Geylang International FC,7,2,183:41:00,0,0,0,0,0,3,2,0,0,0,0,5,1,0
67,4,Takahiro Tezuka,25/6/1998,23,JPN,Midfielder,24,Geylang International FC,10,10,900:00:00,1,15,1,1,7,11,5,1,0,0.47,0.07,0,0,1
68,5,Joshua Bernard Pereira,10/10/1997,24,SGP,Midfielder,25,Geylang International FC,1,1,29:14:00,0,0,0,0,0,0,2,0,0,0,0,0,0,0
69,6,Abdil Qaiyyim Bin Abdul Mutalib,14/5/1989,33,SGP,Defender,33,Geylang International FC,7,6,509:37:00,1,2,1,1,1,4,5,1,0,0.5,0.5,1,1,0
70,7,Mohammad Hazzuwan Mohammad Halim,2/2/1994,28,SGP,Forward,28,Geylang International FC,10,10,806:33:00,2,18,1,1,7,6,8,0,0,0.39,0.11,0,0,1
71,8,Muhammad Fareez Bin Mohd Farhan,29/7/1994,27,SGP,Forward,28,Geylang International FC,8,1,218:50:00,0,6,1,1,4,3,2,0,0,0.67,0,7,1,0
72,9,Sime Zuzul,10/1/1996,26,CRO,Forward,26,Geylang International FC,10,10,900:00:00,5,22,1,1,14,16,18,0,0,0.64,0.23,0,0,1
73,10,VINCENT BEZECOURT,10/6/1993,28,FRA,Midfielder,29,Geylang International FC,10,10,900:00:00,1,31,1,1,4,15,28,1,0,0.13,0.03,0,0,0
74,11,Huzaifah Abdul Aziz,27/6/1994,27,SGP,Midfielder,28,Geylang International FC,10,10,824:01:00,0,2,0,0,0,27,22,2,0,0,0,0,0,1
75,13,Rio Sakuma,14/4/1997,25,JPN,Defender,25,Geylang International FC,10,10,900:00:00,0,5,0,0,1,11,1,0,0,0.2,0,0,0,0
76,14,Ahmad Syahir Bin Sahimi,10/4/1992,30,SGP,Defender,30,Geylang International FC,9,7,667:46:00,0,3,1,1,2,19,10,3,1,0.67,0,2,0,1
77,15,Mohammad Faizal Bin Roslan,30/5/1995,27,SGP,Defender,27,Geylang International FC,8,8,689:08:00,0,6,0,0,2,8,1,1,1,0.33,0,0,1,0
78,16,Umar Akhbar Ramle,2/5/1996,26,SGP,Midfielder,26,Geylang International FC,4,0,155:29:00,0,2,0,0,0,3,7,1,0,0,0,4,1,0
79,18,Khairul Hairie Bin Abdul Hamid,9/4/2000,22,SGP,Midfielder,22,Geylang International FC,8,8,453:43:00,1,6,0,0,1,5,7,0,0,0.17,0.17,0,0,0
80,19,Zaiful Nizam Bin Abdullah,24/7/1987,34,SGP,Goal Keeper,35,Geylang International FC,9,9,810:00:00,0,0,0,0,0,0,0,2,0,0,0,0,1,0
81,20,S Suria Prakash,23/12/1993,28,SGP,Midfielder,29,Geylang International FC,1,0,3:47,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,21,Muhammad Hafiz Bin Ahmad,30/12/1998,23,SGP,Goal Keeper,24,Geylang International FC,1,1,90:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,22,Hai Ngee Yeo,12/1/1995,27,SGP,Midfielder,27,Geylang International FC,2,0,17:27,0,0,0,0,0,0,0,0,0,0,0,2,0,0
84,23,Muhammad Zulfadhmi Bin Suzliman,10/2/1996,26,SGP,Forward,26,Geylang International FC,2,0,79:54:00,0,0,0,0,0,2,4,0,0,0,0,2,0,0
85,24,Qayyum Raishyan Bin Rahmat,5/12/2000,21,SGP,Defender,22,Geylang International FC,1,0,45:00:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0
86,52,Muhammad Danish Siregar Bin Sahat Siregar,1/3/2003,19,SGP,Midfielder,19,Geylang International FC,1,0,23:20,0,1,0,0,0,0,0,0,0,0,0,1,0,1
87,53,Muhammad Badrul Amin Bin Noh,12/2/2002,20,SGP,Defender,20,Geylang International FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,54,Jia Jun Kieran Teo,6/4/2004,18,SGP,Defender,18,Geylang International FC,2,1,117:15:00,0,1,0,0,1,3,0,1,0,1,0,1,1,0
89,55,MUHAMMAD DANISH HAZIQ BIN MOHAMMAD HANAFI,12/6/2002,19,SGP,Forward,20,Geylang International FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,59,Muhammad Furqan Abdul Raoff,26/3/2002,20,SGP,Midfielder,20,Geylang International FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,65,MUHAMMAD ANIQ YUSOFF,24/12/2004,17,SGP,Goal Keeper,18,Geylang International FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,Mukundan Malaiya Maran,21/7/1998,23,SGP,Goal Keeper,24,Hougang United FC,4,4,360:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,2,Anders Eric Aplin,21/6/1991,30,SGP,Defender,31,Hougang United FC,8,5,464:49:00,0,2,0,0,0,5,4,2,1,0,0,3,1,0
94,4,Muhammad Nazrul Bin Ahmad Nazari,11/2/1991,31,SGP,Defender,31,Hougang United FC,8,8,720:00:00,1,2,1,1,2,13,9,1,0,1,0.5,0,1,0
95,5,Han Wei Lionel Tan,5/6/1997,24,SGP,Defender,25,Hougang United FC,8,8,720:00:00,0,3,1,1,1,8,2,1,0,0.33,0,0,1,0
96,6,Kaishu Yamazaki,12/7/1997,24,JPN,Midfielder,25,Hougang United FC,11,11,990:00:00,2,13,0,0,4,9,13,0,0,0.31,0.15,0,1,0
97,7,Muhammad Shahfiq Bin Ghani,17/3/1992,30,SGP,Midfielder,30,Hougang United FC,7,3,206:26:00,0,3,2,2,1,4,1,0,0,0.33,0,4,1,0
98,8,Muhammad Hafiz Bin Abu Sujad,1/11/1990,31,SGP,Defender,32,Hougang United FC,5,2,281:31:00,1,4,1,1,2,5,2,2,0,0.5,0.25,3,1,0
99,9,Pedro Gomes Bortoluzo,17/7/1996,25,BRA,Forward,26,Hougang United FC,7,6,550:41:00,3,19,1,1,5,10,11,2,0,0.26,0.16,1,0,0
100,10,Muhammad Shawal Bin Anuar,29/4/1991,31,SGP,Forward,31,Hougang United FC,7,6,516:47:00,1,6,1,1,2,7,10,0,0,0.33,0.17,1,1,0
101,11,Muhammad Afiq Bin Mat Noor,25/12/1993,28,SGP,Midfielder,29,Hougang United FC,4,0,40:22:00,0,0,0,0,0,3,1,1,0,0,0,4,1,0
102,12,Wing Hong Fabian Kwok,17/3/1989,33,SGP,Midfielder,33,Hougang United FC,6,4,358:01:00,0,1,1,1,0,6,4,0,0,0,0,2,1,0
103,13,Muhammad Ridhuan Bin Barudin,23/3/1987,35,SGP,Goal Keeper,35,Hougang United FC,7,7,630:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,14,Kristijan Krajcek,1/10/1993,28,CRO,Midfielder,29,Hougang United FC,8,8,701:48:00,1,23,1,1,7,21,12,1,0,0.3,0.04,0,0,1
105,16,Faiz Bin Mohd Salleh,17/7/1992,29,SGP,Defender,30,Hougang United FC,2,2,180:00:00,0,0,0,0,0,1,2,0,0,0,0,0,1,0
106,17,Mohammad Shahril Bin Ishak,23/1/1984,38,SGP,Forward,38,Hougang United FC,9,3,335:46:00,0,3,0,0,1,2,7,0,0,0.33,0,6,1,0
107,19,Amy Recha Pristifana Bin Samion,13/5/1992,30,SGP,Forward,30,Hougang United FC,10,7,684:16:00,1,10,0,0,6,10,7,0,0,0.6,0.1,3,0,1
108,20,Muhammad Muhaimin Bin Suhaimi,20/2/1995,27,SGP,Midfielder,27,Hougang United FC,6,4,337:09:00,0,2,0,0,0,7,9,1,0,0,0,2,1,0
109,21,Muhammad Nazhiim Bin Harman,2/3/1999,23,SGP,Defender,23,Hougang United FC,9,7,596:45:00,0,0,0,0,0,6,3,5,0,0,0,2,0,1
110,22,Kishson Silvanus Philip,26/11/1999,22,SGP,Midfielder,23,Hougang United FC,2,0,11:22,0,0,0,0,0,2,0,0,0,0,0,2,1,0
111,23,Mohamad Sahil Bin Suhaimi,8/7/1992,29,SGP,Forward,30,Hougang United FC,8,3,410:22:00,3,15,1,1,8,6,14,0,0,0.53,0.2,5,1,0
112,24,Muhammad Amir Bin Zalani,4/12/1996,25,SGP,Midfielder,26,Hougang United FC,5,3,206:09:00,0,0,0,0,0,2,0,0,0,0,0,2,1,0
113,25,Muhammad Aizil Mohamed Yazid,24/12/2004,17,SGP,Goal Keeper,18,Hougang United FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,30,Andre Francisco Moritz,6/8/1986,35,BRA,Midfielder,36,Hougang United FC,9,8,657:20:00,4,28,2,2,9,17,25,3,0,0.32,0.14,1,0,0
115,37,Muhammad Zulfahmi Bin Mohd Arifin,5/10/1991,30,SGP,Midfielder,31,Hougang United FC,7,6,562:30:00,1,2,0,0,1,6,4,0,0,0.5,0.5,1,0,0
116,55,Muhammad Farhan Bin Zulkifli,10/11/2002,19,SGP,Midfielder,20,Hougang United FC,5,5,265:24:00,0,1,0,0,0,6,7,2,0,0,0,0,1,0
117,66,Ajay Robson s/o Muralitharan,6/12/2003,18,SGP,Defender,19,Hougang United FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,Mohamad Izwan Bin Mahbud,14/7/1990,31,SGP,Goal Keeper,32,Lion City Sailors FC,3,3,270:00:00,0,0,0,0,0,0,3,0,0,0,0,0,0,1
119,2,Pedro Henrique Pereira Da Silva,18/12/1992,29,BRA,Defender,30,Lion City Sailors FC,8,8,642:53:00,0,4,0,0,0,8,3,0,1,0,0,0,0,0
120,3,Tajeli Bin Salamat,7/2/1994,28,SGP,Defender,28,Lion City Sailors FC,6,6,439:48:00,0,1,0,0,0,5,6,0,0,0,0,0,1,0
121,5,Muhammad Amirul Adli Bin Azmi,13/1/1996,26,SGP,Defender,26,Lion City Sailors FC,9,4,450:13:00,0,2,0,0,0,3,3,0,0,0,0,5,1,0
122,6,Anumanthan S/O Mohan Kumar,14/7/1994,27,SGP,Midfielder,28,Lion City Sailors FC,8,4,376:12:00,0,1,0,0,1,11,8,2,0,1,0,4,0,0
123,7,Uiyoung Song,8/11/1993,28,SGP,Midfielder,29,Lion City Sailors FC,9,8,578:19:00,2,19,2,2,7,19,18,2,0,0.37,0.11,1,1,0
124,8,Shahdan Bin Sulaiman,9/5/1988,34,SGP,Midfielder,34,Lion City Sailors FC,9,8,731:49:00,1,8,2,2,2,8,1,1,0,0.25,0.12,1,1,0
125,9,Shinwook Kim,14/4/1988,34,KOR,Forward,34,Lion City Sailors FC,10,7,672:21:00,9,30,0,0,14,8,7,0,0,0.47,0.3,3,0,0
126,10,Diego Hipolito Da Silva Lopes,3/5/1994,28,BRA,Midfielder,28,Lion City Sailors FC,10,8,780:20:00,4,17,2,2,8,14,22,1,0,0.47,0.24,2,1,0
127,11,Mohammad Hafiz Bin Mohd Nor,22/8/1988,33,SGP,Midfielder,34,Lion City Sailors FC,10,3,489:34:00,1,4,1,1,1,14,2,2,0,0.25,0.25,7,1,0
128,12,Iqram Rifqi Bin Mohd Yazid,25/2/1996,26,SGP,Midfielder,26,Lion City Sailors FC,8,7,582:27:00,1,1,1,1,1,8,8,0,0,1,1,1,0,1
129,13,Muhammad Adib Nur Hakim Bin Azahari,9/3/1998,24,SGP,Goal Keeper,24,Lion City Sailors FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,14,Hariss S/O Harun,19/11/1990,31,SGP,Defender,32,Lion City Sailors FC,10,10,900:00:00,0,3,0,0,3,5,3,0,0,1,0,0,1,0
131,16,Muhammad Hami Syahin Bin Said,16/12/1998,23,SGP,Midfielder,24,Lion City Sailors FC,3,1,76:17:00,0,1,0,0,0,3,1,1,0,0,0,2,0,1
132,17,Maxime Christophe Lestienne,17/6/1992,29,BEL,Midfielder,30,Lion City Sailors FC,8,4,484:02:00,3,18,7,7,10,3,5,2,0,0.56,0.17,4,0,0
133,18,Hassan Bin Abdullah Sunny,2/4/1984,38,SGP,Goal Keeper,38,Lion City Sailors FC,7,7,630:00:00,0,0,0,0,0,0,4,0,0,0,0,0,1,0
134,19,Muhammad Naqiuddin Bin Ahmad Eunos,12/1/1997,25,SGP,Defender,25,Lion City Sailors FC,2,1,56:19:00,0,0,0,0,0,0,3,0,0,0,0,1,1,0
135,22,Jun Yi Gabriel Quak,22/12/1990,31,SGP,Midfielder,32,Lion City Sailors FC,8,4,327:03:00,2,11,2,2,4,6,2,0,0,0.36,0.18,4,1,0
136,23,Muhammad Amiruldin Asraf Bin Muhammad Nodin,8/1/1997,25,SGP,Forward,25,Lion City Sailors FC,2,2,110:59:00,0,0,0,0,0,3,2,0,0,0,0,0,1,0
137,25,Haiqal Pashia Anugrah,29/11/1998,23,SGP,Midfielder,24,Lion City Sailors FC,4,1,140:45:00,1,4,1,1,2,2,5,0,0,0.5,0.25,3,1,0
138,27,Adam Bin Swandi,12/1/1996,26,SGP,Midfielder,26,Lion City Sailors FC,7,2,255:26:00,0,1,0,0,0,5,4,1,0,0,0,5,1,0
139,28,Muhammad Saifullah Bin Mohammad Akbar,31/1/1999,23,SGP,Midfielder,23,Lion City Sailors FC,3,3,143:33:00,0,2,0,0,0,5,3,2,0,0,0,0,1,0
140,30,Muhammad Faris Bin Ramli,24/8/1992,29,SGP,Midfielder,30,Lion City Sailors FC,6,2,214:11:00,0,2,1,1,0,0,11,0,0,0,0,4,1,0
141,51,Aniq Raushan Bin Mohamad Azra,5/10/2003,18,SGP,Defender,19,Lion City Sailors FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,55,Jing Jie Glenn Ong,16/7/2003,18,SGP,Midfielder,19,Lion City Sailors FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,62,Kieran Aryan Bin Azhari,31/5/2003,19,SGP,Midfielder,19,Lion City Sailors FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,66,Muhammad Nur Adam Bin Abdullah,13/4/2001,21,SGP,Defender,21,Lion City Sailors FC,4,3,310:56:00,0,0,0,0,0,8,4,1,0,0,0,1,1,0
145,71,Bah Bill Abuzar Mamadou,8/9/2001,20,SGP,Midfielder,21,Lion City Sailors FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,77,Muhamad Anaqi Bin Ismit,24/8/2001,20,SGP,Forward,21,Lion City Sailors FC,4,4,180:00:00,0,6,1,1,2,5,5,0,0,0.33,0,0,0,1
147,80,Aizal Murhamdani Bin Ahmad,26/3/2001,21,SGP,Midfielder,21,Lion City Sailors FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,3,Muhammad Ryaan Bin Sanizal,31/5/2002,20,SGP,Defender,20,Tampines Rovers FC,8,7,590:20:00,0,2,0,0,1,7,2,1,0,0.5,0,1,1,0
149,4,Shuya Yamashita,16/4/1998,24,JPN,Defender,24,Tampines Rovers FC,10,10,900:00:00,1,8,0,0,2,10,4,1,0,0.25,0.12,0,0,1
150,5,Danish Irfan Bin Azman,10/3/1999,23,SGP,Defender,23,Tampines Rovers FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,6,Iman Hakim Bin Ibrahim,9/3/2002,20,SGP,Midfielder,20,Tampines Rovers FC,1,0,45:00:00,0,0,0,0,0,1,1,0,0,0,0,1,1,0
152,7,Muhammad Yasir Bin Hanapi,21/6/1989,32,SGP,Midfielder,33,Tampines Rovers FC,9,9,751:19:00,0,8,2,2,5,19,14,4,0,0.62,0,0,1,0
153,8,Kyoga Nakamura,25/4/1996,26,JPN,Midfielder,26,Tampines Rovers FC,10,10,900:00:00,0,20,5,5,7,13,24,2,0,0.35,0,0,1,0
